rank,title,genre,wiki_plot,imdb_plot
0,The Godfather,"[u' Crime', u' Drama']","On the day of his only daughter's wedding, Vit...","In late summer 1945, guests are gathered for t..."
1,The Shawshank Redemption,"[u' Crime', u' Drama']","In 1947, banker Andy Dufresne is convicted of ...","In 1947, Andy Dufresne (Tim Robbins), a banker..."
2,Schindler's List,"[u' Biography', u' Drama', u' History']","In 1939, the Germans move Polish Jews into the...",The relocation of Polish Jews from surrounding...
3,Raging Bull,"[u' Biography', u' Drama', u' Sport']","In a brief scene in 1964, an aging, overweight...","The film opens in 1964, where an older and fat..."
4,Casablanca,"[u' Drama', u' Romance', u' War']",It is early December 1941. American expatriate...,"In the early years of World War II, December 1..."
5,One Flew Over the Cuckoo's Nest,[u' Drama'],"In 1963 Oregon, Randle Patrick ""Mac"" McMurphy ...","In 1963 Oregon, Randle Patrick McMurphy (Nicho..."
6,Gone with the Wind,"[u' Drama', u' Romance', u' War']",\nPart 1\n \n Part 1 Part 1 \n \n On the...,"The film opens in Tara, a cotton plantation ow..."
7,Citizen Kane,"[u' Drama', u' Mystery']",\n\n\n\nOrson Welles as Charles Foster Kane\n\...,"It's 1941, and newspaper tycoon Charles Foster..."
8,The Wizard of Oz,"[u' Adventure', u' Family', u' Fantasy', u' Mu...",The film starts in sepia-tinted Kansas in the ...,Dorothy Gale (Judy Garland) is an orphaned tee...
9,Titanic,"[u' Drama', u' Romance']","In 1996, treasure hunter Brock Lovett and his ...","In 1996, treasure hunter Brock Lovett and his ..."
10,Lawrence of Arabia,"[u' Adventure', u' Biography', u' Drama', u' H...","] \n The film is presented in two parts, s...","In 1935, T. E. Lawrence (Peter O'Toole) is kil..."
11,The Godfather: Part II,"[u' Crime', u' Drama']","\nIn 1901 Corleone, Sicily, nine-year-old Vito...",The Godfather Part II presents two parallel st...
12,Psycho,"[u' Horror', u' Mystery', u' Thriller']",Patrick Bateman is a wealthy investment banker...,"In a Phoenix hotel room on a Friday afternoon,..."
13,Sunset Blvd.,"[u' Drama', u' Film-Noir']","At a Sunset Boulevard mansion, the body of Joe...",The film opens with the camera tracking down S...
